class, acc_train, acc_dev, loss, val_loss, epochs_run, Fscore, precision, recall
syllabic, 0.9290539026260376, 0.9234024882316589, 0.1656128317117691, 0.18556499481201172, 20, 0.9244191877841258, 0.9271908413203854, 0.9235456553755523
long, 0.9276379346847534, 0.9218657612800598, 0.15510259568691254, 0.17571552097797394, 20, 0.9281183211253483, 0.94458527898351, 0.9218648748159057
voice, 0.9592710137367249, 0.9560583829879761, 0.10591933131217957, 0.12160131335258484, 20, 0.9561762619829681, 0.9562055698256656, 0.9561634756995582
spread_glottis, 0.931014358997345, 0.9304724335670471, 0.15639221668243408, 0.1981063187122345, 20, 0.9432002196874688, 0.9677314497491978, 0.9305283505154639
sonorant, 0.9621897339820862, 0.958785355091095, 0.0980776697397232, 0.11394718289375305, 20, 0.9588156011816248, 0.9588459014163907, 0.9588125920471281
continuant, 0.9444414973258972, 0.9392080903053284, 0.13487392663955688, 0.15380774438381195, 20, 0.9393130748459313, 0.9394417188437695, 0.9392783505154639
consonantal, 0.9284664392471313, 0.920120894908905, 0.17035000026226044, 0.19357623159885406, 20, 0.9207662324170631, 0.9227358446415395, 0.9202743004418262
delayed_release, 0.9734764099121094, 0.9711600542068481, 0.06795649975538254, 0.1157747134566307, 20, 0.9730645419532281, 0.9775331677460326, 0.971218703976436
nasal, 0.953698456287384, 0.9445422887802124, 0.11060352623462677, 0.1348225623369217, 20, 0.9498994359546529, 0.9629222813609296, 0.9446041973490427
labial, 0.9446874856948853, 0.937660276889801, 0.1283462941646576, 0.15708573162555695, 20, 0.9411632791606902, 0.9504381734345121, 0.9377871870397644
labiodental, 0.9339738488197327, 0.9238097071647644, 0.14518429338932037, 0.20013277232646942, 20, 0.940814515257291, 0.971164102071427, 0.9239543446244477
round, 0.9728739857673645, 0.9680221676826477, 0.06379622220993042, 0.11393377929925919, 20, 0.9715324917966303, 0.9791966053370027, 0.968199558173785
approximant, 0.9487038850784302, 0.9442327618598938, 0.12637239694595337, 0.14596934616565704, 20, 0.9443635777644297, 0.9446666425971472, 0.9442562592047128
lateral, 0.9720644950866699, 0.9696565270423889, 0.06931298226118088, 0.11908143758773804, 20, 0.9768383715207613, 0.9889984537413806, 0.9696465390279824
coronal, 0.9416285157203674, 0.937501847743988, 0.13249321281909943, 0.1541401892900467, 20, 0.9393934969342707, 0.9451584785256326, 0.9374576583210604
anterior, 0.930584728717804, 0.9266362190246582, 0.1520606428384781, 0.17160984873771667, 20, 0.931200450117473, 0.9437923743698213, 0.9266899852724595
distributed, 0.9660007953643799, 0.9641214609146118, 0.07288506627082825, 0.12888889014720917, 20, 0.9698095116439347, 0.9813776445956591, 0.9640850515463918
strident, 0.9802722334861755, 0.97913658618927, 0.04603905975818634, 0.07775874435901642, 20, 0.9803639909530355, 0.9835686130328388, 0.9791126656848307
dorsal, 0.9338205456733704, 0.9274616837501526, 0.15921518206596375, 0.18172022700309753, 20, 0.927840676323914, 0.9287362216967027, 0.9275662739322533
high, 0.9302496314048767, 0.9193838238716125, 0.15596921741962433, 0.1790618896484375, 20, 0.9261721161098809, 0.9443729129207503, 0.9193611929307806
low, 0.9615005254745483, 0.9612599611282349, 0.08516819030046463, 0.10193376988172531, 20, 0.9637540083334123, 0.9702599821606881, 0.9612444771723122
front, 0.9678061604499817, 0.9640772342681885, 0.07681676000356674, 0.08793111890554428, 20, 0.9655804010158197, 0.9701292236766366, 0.9640353460972018
back, 0.9728319644927979, 0.9673791527748108, 0.06395769864320755, 0.11334466934204102, 20, 0.9710238616087767, 0.9789649438495057, 0.9675644329896907
tense, 0.9573788046836853, 0.9491616487503052, 0.09709241986274719, 0.12258458882570267, 20, 0.9511030013097, 0.9568465167867355, 0.9492488954344624
tap, 0.9574072957038879, 0.95521080493927, 0.09689277410507202, 0.14965423941612244, 20, 0.9641641643695262, 0.9806521265459707, 0.9551638438880707
pause, 0.9831697940826416, 0.9820054769515991, 0.05931716412305832, 0.07359636574983597, 20, 0.9820089700031742, 0.9820187925208681, 0.9820011045655376
